MBAR,MBAR_Error,BAR,BAR_Error,TI,TI_Error
-3.516373521635,0.01369350132593837,-3.5026797060614556,0.01725447888435765,-3.454258302766148,0.01873380061427695
-3.16724424427945,0.01120995481709916,-3.1668082287701926,0.015960046002943134,-3.112191376091135,0.01640902902442653
-2.4607297733976865,0.011624902746074927,-2.4815547868753187,0.018570336462342046,-2.3927458165116535,0.017808595139072587
-1.1413238604680593,0.015558327616019971,-1.1368203501245993,0.027647605150548572,-1.0319252415013433,0.03486023401186976
1.0689248861848484,0.02592214319258735,1.043271461680879,0.06184620909099486,1.194194929699703,0.06566723860564107
0.7153506769741348,0.006540165915953327,0.6811155871734641,0.022669535184442542,0.7116218850274161,0.023150941294781683
0.2094351798288409,0.0015156395929489274,0.2023277788333598,0.006551602819326595,0.2045728380762396,0.006573892462110202
0.22165708263422979,0.0014727950371257721,0.2242573246655889,0.005690191932098034,0.2236612108862885,0.006269918742959194
0.2336783898209202,0.0014423294262577917,0.23555256169458816,0.002561417311886479,0.23204209031464126,0.004129024413255331
0.24534680787864788,0.0014289460206502258,0.24770773225971138,0.0018781022609387305,0.24971717646026984,0.0018927643847236224
0.2563754218259448,0.00143675614337321,0.25960432785448273,0.0025487029909484937,0.25279377980986834,0.0047329220421772605
0.2664437153109039,0.001469394179577694,0.2551142889745136,0.007951515175250588,0.26202507864437496,0.008243544082989654
0.27506792079527903,0.0015296731506509109,0.27714561912028934,0.008602881350983084,0.2739947201221105,0.008654616738170487
0.28163637111398837,0.0016189445404519124,0.2968804620406895,0.008960553085161629,0.29166536075581173,0.009228132805591807
0.28536311152625754,0.0017366307405572233,0.31327282726334943,0.010056488761665766,0.3140036993225573,0.01109189120635814
0.28533997241397624,0.001877990765531997,0.3012760817377745,0.010153815487867493,0.30171987586208854,0.010827374028021123
0.28072923110265,0.002032026669541178,0.27612110817457275,0.004136309031555946,0.285522512366707,0.007907054612935447
0.2708898616506795,0.0021796239151579766,0.26517053005915553,0.004512268092823135,0.25406434216024343,0.011062900938398082
0.255851257044883,0.002296583222846712,0.2295754367163763,0.004783879089336538,0.22896584995467426,0.011102678559342462
0.23650545483183105,0.002362896769408875,0.23501673631882714,0.0034147087319166586,0.23738377636594346,0.003499225953698168
0.21463352192244525,0.002374074657074847,0.22722201999173453,0.0036939989894667928,0.22503447717671085,0.0036267903825638256
0.1924019118749678,0.0023447517850318884,0.1893982704197097,0.004903025511561882,0.18368208856716509,0.010225601959908731
0.17168704256084577,0.0022977754106054404,0.18708374269124348,0.013592934867021306,0.19404917390315438,0.013974446176426576
0.15360950116771624,0.00225028831684102,0.1808974377272342,0.013559829765977154,0.18002586327567027,0.012468989118098874
0.13847189719634964,0.00220795551456595,0.1350222189540557,0.009294566452181163,0.13607746637193646,0.009918692908440628
0.12605183019528132,0.0021687620745178137,0.12321499082273034,0.008348674901675226,0.12388738231378957,0.008048987101020354
0.11585688654672846,0.002129317169244256,0.1155716137031945,0.008489318542807786,0.11728872633734147,0.008346963066019059
0.10738739827426148,0.0020876436457482306,0.10999672481522248,0.008823719305974238,0.11409994888074966,0.00923015370179119
0.10020103956350727,0.0020440330090781555,0.10209536578319973,0.00743908062995818,0.10103525018407204,0.007840848319076393
0.09401685673980267,0.002000595121344531,0.09735855632674084,0.006547131885418157,0.09506781981334403,0.006617335354263254
0.08860362216892843,0.0019599951001593482,0.0798665035961339,0.005964550313824789,0.0784970469002973,0.005899892793783555
0.08378998982479169,0.0019247798331906477,0.07230569482208618,0.004480647337531644,0.07417214938035033,0.004475662491950338
0.07948161574283563,0.0018965357853042944,0.08166912703437983,0.004779377686244504,0.08743806826490146,0.0050500605850796205
0.0755426525297542,0.0018757789201784144,0.08916470884913054,0.005898314714351115,0.08570118098952934,0.0055014685403596995
0.07193473338014204,0.0018622378190915315,0.07650470967035887,0.004842557311918262,0.07674754202018574,0.005057353966655597
0.06861731267214455,0.001854949605313801,0.07213934654752457,0.005106786319494999,0.07299757596015088,0.005304549414783439
0.06555887764470922,0.001852830866288886,0.06895915666600512,0.005275522191188877,0.07431831230065057,0.005395934980041579
0.06270588842363368,0.0018548344891935464,0.05722882343996216,0.003962561504285521,0.062280727146729456,0.004154398129371162
0.22733113029055302,0.0074169934507091785,0.21261660883730504,0.014219348263336248,0.2246117116426949,0.014731949875515257
0.20152407480025955,0.007695550202787055,0.20601422263291788,0.01492616970829581,0.22037343814235302,0.016408550087307506
0.1872238933351067,0.008230340542830544,0.19244420965821427,0.015130176178908723,0.20992151940308776,0.016764872298326492
0.17276604200509774,0.0088744907835794,0.1856698068632126,0.01646080350323001,0.15500084572601341,0.01532776299474243
0.14752449749709992,0.009183742772924582,0.14380986752677274,0.01505110919344302,0.10987406516597731,0.013914430848816484
0.10947134329465544,0.009172691408171778,0.12966740379847155,0.013940092640367175,0.12607647746568332,0.015122767102119818
0.05635427347101296,0.00918321260863646,0.06547844207144014,0.015092747025972995,0.07920865258281085,0.01569354461454486
-0.027986234904659776,0.009378175024038257,-0.040774268905095654,0.01450736991966504,-0.022839179658386787,0.016047465997204594
-0.06346599355290722,0.0048723419022878986,-0.07810443902476154,0.008508104733041788,-0.07586233048086438,0.008846742060949278
-0.11133747048811651,0.005012079474998082,-0.11437565513249608,0.009095895454921076,-0.11847141386556598,0.009434792125175931
-0.17710328234159128,0.0053597892327546075,-0.15603945938473224,0.01008337660737977,-0.16354761081414756,0.009912888620702599
-0.2750296336710673,0.006316654891226205,-0.28361190503896244,0.010837162649768653,-0.2738123164307851,0.011580079000295364
