MBAR,MBAR_Error,BAR,BAR_Error,TI,TI_Error
-6.167642088141358,0.014765231137922509,-6.128562895021698,0.03284366140722093,-6.088153891337459,0.03225700202690123
-5.601431978558983,0.009239163789145096,-5.6048237517302635,0.024218849305589922,-5.53356032323679,0.025870680668319525
-4.544528318630491,0.007051860216205726,-4.523249746690873,0.012502230435150839,-4.437819510153269,0.017364931678745
-2.6393896160314476,0.006748576760735348,-2.640590965563848,0.012016519444319078,-2.529056381892885,0.013189060214563286
0.7986692993600674,0.011465093798611407,0.76849651005278,0.026993859196513547,1.0217852948170731,0.03243993943795521
1.0023116955050901,0.0045155688433797725,1.0051903517406837,0.013853391669724335,1.0090036124204769,0.014747195255735968
0.3103015664900685,0.0012767854099208242,0.3062947421804038,0.004505038919101102,0.30684422825228336,0.004582758680164159
0.3345309111344089,0.0013443853880807457,0.3442847891103276,0.00446050354132909,0.34693900203487354,0.004765397319212539
0.35852915834721966,0.0014190010954675278,0.37432483593606897,0.005477030140652312,0.3675248519573341,0.0056401804237628935
0.38202431837991613,0.0015018896092339215,0.37578202639341224,0.006286162047112271,0.3774781164682541,0.006408737162477469
0.4045465833794479,0.0015940747586476198,0.3907169015506879,0.006904182520099979,0.3931711446103079,0.00696143326096164
0.4256243536072342,0.0016964386549056345,0.4217150149656926,0.007763218027435886,0.4322417724632781,0.007524737108595317
0.4446146885147482,0.001809058366123787,0.45169503231157554,0.0031513256878843237,0.45372609586695367,0.005378908053381718
0.46078454186311185,0.0019311347714115654,0.45678084356530363,0.002778326296927902,0.4524551750490653,0.0027428970279626064
0.47328787847935994,0.0020602027632976665,0.4551718527778243,0.004315513049896145,0.4721322529686997,0.008590171109968847
0.48119582021909174,0.002191572675254213,0.48917128672491145,0.012087011432331308,0.48129948727428357,0.012699455783524669
0.48367653573830405,0.0023178739292915697,0.49239258120847923,0.013524095352361692,0.4994664224795395,0.014357371332464267
0.4799227935547674,0.002428968524631858,0.5209239542467945,0.011890539805903056,0.5137762796871338,0.013090051500397094
0.46954562963771557,0.002514733404441981,0.46330811168134556,0.005702831428268707,0.48401263131882283,0.008638165946111257
0.4526957486968431,0.0025706247061511455,0.4606597607025148,0.0041209866700170315,0.4647006738736623,0.004224318187109307
0.43027281236644094,0.0026035565433898344,0.43538681525639716,0.004294528743473076,0.4308010271121646,0.004143284133851516
0.403996063281619,0.0026335973455784145,0.41263374731349034,0.004107359790838045,0.41683497449904794,0.004249376855217047
0.3759666421810048,0.002684420916743194,0.4166847960038955,0.005742134423689359,0.40310516023445947,0.011117567315136563
0.34813870604465,0.002767854357797542,0.31969051304915297,0.005164374385574012,0.33489622576697325,0.010808270029774702
0.3219867349313999,0.0028751494460403917,0.3049342323363941,0.004761748111752103,0.3343159423408893,0.01336475146982817
0.2982772568187091,0.0029831436545737274,0.3233157362961553,0.01642914704310504,0.31898675756636885,0.017195202163960314
0.2772699735361038,0.0030683210721918538,0.2604423690385545,0.014690664225618691,0.272722190127054,0.015483457401333613
0.2589395499614707,0.003115101528707874,0.23033496485749597,0.010677116735637645,0.2515148607745409,0.01232457012615132
0.24314062133570638,0.003118375122454482,0.23404282319593456,0.00824115177120129,0.2404894417192153,0.008664920289910024
0.2296849163895723,0.0030819245891233198,0.24355417609722793,0.009464542747780108,0.2430885487138954,0.00994446947202091
0.21837722343629457,0.003015352624258294,0.21115520837021876,0.008515853667317485,0.21403545475683486,0.008764164362275364
0.20899979985671385,0.0029312228364675526,0.18778364803415934,0.006461960480910274,0.19103616396681491,0.006500791870186232
0.20130642755832723,0.002842207024695576,0.18340101025364258,0.007339029369485001,0.1947377031328437,0.008019442556014637
0.19506296528206674,0.0027595096247451044,0.194408458329397,0.008811824097871799,0.19650062978885255,0.008687096337672364
0.1900878612524094,0.0026917923832242034,0.1962446359748775,0.007631595951097649,0.19463558500927283,0.00763078380852876
0.18615518139370849,0.0026443532312585634,0.19062462660353885,0.005720672674082715,0.18610362236051092,0.0057968250437567
0.1831143918103042,0.0026193605069640457,0.17714086381338515,0.0048527123076292835,0.17301857057726988,0.004740264185836457
0.18078344919846578,0.0026159237459464995,0.17939127496092494,0.005288234697065684,0.18680370464790988,0.0062352674169467185
0.7095914224920757,0.010583209469536274,0.7376990879921543,0.024088512518964825,0.7530709075063813,0.025255638045850414
0.7001398821297222,0.011450290495507961,0.6831600003852927,0.018043263862480983,0.6724345001020189,0.01782466267875905
0.6930781402229529,0.012516421551613541,0.6902585206472731,0.01884103116465653,0.703194949488722,0.019308886969779816
0.6788079622820068,0.013352267224841967,0.6897640548271081,0.01953198557953032,0.6835964106061796,0.02018109725721337
0.6614360648530582,0.013537344635236983,0.6853315321356123,0.021103928269399806,0.6608299554213899,0.022766898533062182
0.6478996282156305,0.013491408414689592,0.6684304683325407,0.022315693602195753,0.6701104736452321,0.02426252780156512
0.6293046426908341,0.012787846828053223,0.6226791300631258,0.018924727742778594,0.6149912435651782,0.01887654440593059
0.5991228673148725,0.011289875124833742,0.5809680633161133,0.01576060174015553,0.5679769093328194,0.01663831948208861
0.28570836713332554,0.005218400356381977,0.2927452511115848,0.008505960305691096,0.2912634209683559,0.00864618700731259
0.2752201490186784,0.005038185292308152,0.2802826977750452,0.008821523488570399,0.2754538111501627,0.009367651817052264
0.2630726002290066,0.005000947752715399,0.25551420953234283,0.010576591875389424,0.24676862684507686,0.010798515716584958
0.24846726776833683,0.0051152349354168306,0.22564944539643841,0.011143486501255026,0.2286987965135267,0.011348163907543606
