MBAR,MBAR_Error,BAR,BAR_Error,TI,TI_Error
-10.612786026988019,0.026780626790807113,-10.519216098908707,0.04283407135773324,-10.331976070010294,0.05549223358301669
-6.604454865187672,0.013421740528201416,-6.5831950070970855,0.020745258731215056,-5.894217575746432,0.025322376029201156
0.5939057691510425,0.011135041738975948,0.617223890211597,0.0207284405136622,0.8217519461263363,0.028634927606052272
0.868220369307782,0.004369131808552524,0.8803826111843521,0.010922576936527076,0.8857261816939467,0.011840958119258156
0.565493220861204,0.002582193615138329,0.5774618491699403,0.006562208580064273,0.5737911034225929,0.007410614814392007
0.6547265958487832,0.0029664831851176888,0.6731862253529917,0.008290368475064433,0.6704739148309944,0.00843894614371748
0.7400666718807488,0.0035229603253835373,0.7329319956184128,0.005332114193325201,0.7407367551746987,0.007116875355819503
0.8133716400080556,0.004346689894214964,0.7929192821173772,0.007792268862106623,0.8268555390604525,0.012313909026142777
0.8612606905416929,0.005546676277409316,0.8855206817633678,0.02013421139051033,0.872701179921949,0.02090900827360196
0.8662606562592448,0.007203835532552432,0.8645835603038362,0.009254996537651123,0.8550467746750907,0.017969430270821155
0.816698965091913,0.00909824104173243,0.8269090271709103,0.010997232218368345,0.8425576576114985,0.02425491283477292
0.7238289267067118,0.010249156852739381,0.7449083948643724,0.039384823112720714,0.7446022523482206,0.036427325886973325
1.15149388058603,0.018079752045570056,1.2119352678104924,0.03423610022774196,1.1613239622226392,0.056269106657688785
2.9625839724702727,0.0505011084790918,2.9123146997293063,0.06561102995817349,1.8560717768046338,0.04856144668974127
-1.3236989483629058,0.02863780172735571,-1.4041253978199135,0.04880378122426088,0.7331569076048695,0.02683652953193348
0.6877037051104676,0.015734753905614195,0.70778152943458,0.026547311965402522,0.6139784948089656,0.018146430455529855
1.2408126155433032,0.024786115714422616,1.2038064863598312,0.04318886444134756,0.5931564322073403,0.017074671813634857
0.6006443438881289,0.010913590649634207,0.6286270415194788,0.018382324288454217,0.5998672746955817,0.01852241877571498
0.6105674823022793,0.010847117834316147,0.6429894459205766,0.01648927168608021,0.6249642809240364,0.015996778316414363
0.6204979010437313,0.011047317920799691,0.6226543764723373,0.0158378205348594,0.6182522109506403,0.015952727329628366
0.624159698583031,0.011703794268239264,0.6196547864218891,0.01740057320749262,0.610743591869183,0.017705252664784565
0.6137328165643343,0.01239933390680843,0.6263604408588902,0.019879421656568745,0.5939972470053702,0.019253800321553986
0.5852084795403943,0.012097845690770853,0.5777615437183137,0.021027414068297716,0.5576495207308804,0.020361112083178545
0.2781750948344845,0.005674152658744503,0.2639717513455572,0.010678219509420358,0.27031636689771665,0.010482504080927334
0.26737504135931506,0.005371984399365776,0.26357688802336077,0.009286510249605959,0.2665827871152514,0.0096105528141875
0.25508442386680413,0.005173576950275959,0.24669790987136164,0.008870086032212874,0.24482031059041498,0.009484781109777763
0.24037606925902985,0.005152816033709235,0.23248824070239485,0.008765268210386572,0.24695663078748473,0.010032820502027157
0.22199371868687098,0.005393281900826735,0.23451318809259836,0.008862130508499691,0.24228296352629927,0.009501566348245978
0.19881340974786021,0.005975529224095598,0.19837019073195358,0.009159189363828474,0.19224477634851012,0.009154217862859833
0.12211631850492066,0.11091234448472759,0.2829948009443746,0.23461187112416426,1.6344151941988714,0.1715681474907429
0.12211631850492066,0.11091234448472759,0.2829948009443746,0.13463251327060863,1.6344151941988714,0.1715681474907429
